Regions,Transcription Factors,Properties
seq1767_[chr14:96494017-96494187],REST_Fimo_ENCODE_8,
seq1767_[chr14:96494017-96494187],HIF1A_Fimo_ENCODE_1,
seq1767_[chr14:96494017-96494187],HIF1A_Fimo_ENCODE_2,
seq1767_[chr14:96494017-96494187],CR936877.3_Fimo_hg19_22,
seq956_[chr2:233916594-233916764],NFE2L2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_1
seq956_[chr2:233916594-233916764],NR2F2_Fimo_hg19_22,Induction/activity_at_TP_24h
seq956_[chr2:233916594-233916764],BCL11B_Fimo_hg19_1,Induction/activity_at_TP_48h
seq956_[chr2:233916594-233916764],ELF1_Fimo_hg19_7,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_1
seq956_[chr2:233916594-233916764],HHEX_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_3
seq956_[chr2:233916594-233916764],E2F4_Fimo_hg19_3,
seq956_[chr2:233916594-233916764],REST_Fimo_ENCODE_8,
seq956_[chr2:233916594-233916764],CR936877.3_Fimo_hg19_22,
seq956_[chr2:233916594-233916764],ETV5_Fimo_hg19_31,
seq956_[chr2:233916594-233916764],REST_Fimo_ENCODE_9,
seq956_[chr2:233916594-233916764],EP300_Fimo_ENCODE_5,
seq154_[chr1:228110602-228110772],ZIC3_Fimo_ENCODE_3,Induction/activity_at_TP_12h
seq154_[chr1:228110602-228110772],BCL11B_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_4
seq154_[chr1:228110602-228110772],EP300_Fimo_ENCODE_5,Induction/activity_at_TP_6h
seq154_[chr1:228110602-228110772],ETV5_Fimo_hg19_31,Induction/activity_at_TP_0h
seq154_[chr1:228110602-228110772],REST_Fimo_ENCODE_8,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4
seq154_[chr1:228110602-228110772],ZIC5_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_4
seq154_[chr1:228110602-228110772],,Induction/activity_at_TP_3h
seq154_[chr1:228110602-228110772],,pathway_hsa04340
seq154_[chr1:228110602-228110772],,pathway_hsa04310
seq1570_[chr9:94647461-94647631],NR2F2_Fimo_hg19_22,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_3
seq1570_[chr9:94647461-94647631],ELF1_Fimo_hg19_7,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_4
seq1570_[chr9:94647461-94647631],MYC_Fimo_ENCODE_5,Induction/activity_at_TP_6h
seq1570_[chr9:94647461-94647631],BCL11B_Fimo_hg19_1,Induction/activity_at_TP_0h
seq1570_[chr9:94647461-94647631],SP8_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4
seq1570_[chr9:94647461-94647631],PTEN_Fimo_ENCODE_1,Induction/activity_at_TP_12h
seq1570_[chr9:94647461-94647631],CR936877.3_Fimo_hg19_22,Induction/activity_at_TP_3h
seq1570_[chr9:94647461-94647631],TCF12_Fimo_ENCODE_7,
seq469_[chr13:101768198-101768368],MEIS2_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_5
seq469_[chr13:101768198-101768368],MEIS3_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_1
seq469_[chr13:101768198-101768368],SOX21_Fimo_ENCODE_3,Induction/activity_at_TP_24h
seq469_[chr13:101768198-101768368],SNAI3_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_1
seq469_[chr13:101768198-101768368],,Induction/activity_at_TP_48h
seq807_[chr19:52408231-52408401],POU3F1_Fimo_ENCODE_2,Induction/activity_at_TP_72h
seq807_[chr19:52408231-52408401],POU3F2_Fimo_ENCODE_6,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_1
seq807_[chr19:52408231-52408401],FOXJ2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_2
seq807_[chr19:52408231-52408401],,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_1
seq807_[chr19:52408231-52408401],,Induction/activity_at_TP_48h
seq19_[chr1:11741207-11741377],MYC_Fimo_ENCODE_9,Induction/activity_at_TP_72h
seq19_[chr1:11741207-11741377],TCF7L2_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_1
seq19_[chr1:11741207-11741377],MZF1_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_2
seq19_[chr1:11741207-11741377],TFAP2_Fimo_ENCODE_4,Induction/activity_at_TP_48h
seq19_[chr1:11741207-11741377],TFAP2_Fimo_ENCODE_10,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_2
seq19_[chr1:11741207-11741377],USF1_Fimo_hg19_9,
seq19_[chr1:11741207-11741377],RXRA_Fimo_ENCODE_2,
seq19_[chr1:11741207-11741377],REST_Fimo_ENCODE_8,
seq19_[chr1:11741207-11741377],REST_Fimo_ENCODE_9,
seq19_[chr1:11741207-11741377],TCF12_Fimo_ENCODE_5,
seq19_[chr1:11741207-11741377],TCF12_Fimo_ENCODE_7,
seq615_[chr16:26997150-26997320],ATF3_Fimo_hg19_1,Induction/activity_at_TP_72h
seq615_[chr16:26997150-26997320],SRF_Fimo_hg19_17,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_2
seq615_[chr16:26997150-26997320],RARA_Fimo_ENCODE_8,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_2
seq615_[chr16:26997150-26997320],,Induction/activity_at_TP_48h
seq615_[chr16:26997150-26997320],,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_3
seq993_[chr20:44393959-44394129],MYC_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_1
seq993_[chr20:44393959-44394129],ZNF423_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_2
seq993_[chr20:44393959-44394129],TFAP2_Fimo_ENCODE_4,Induction/activity_at_TP_12h
seq993_[chr20:44393959-44394129],E2F4_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_5
seq993_[chr20:44393959-44394129],MYC_Fimo_ENCODE_5,Induction/activity_at_TP_48h
seq993_[chr20:44393959-44394129],E2F4_Fimo_hg19_6,Induction/activity_at_TP_24h
seq993_[chr20:44393959-44394129],TFAP2_Fimo_ENCODE_10,
seq993_[chr20:44393959-44394129],ZIC2_Fimo_ENCODE_1,
seq993_[chr20:44393959-44394129],RXRA_Fimo_ENCODE_2,
seq993_[chr20:44393959-44394129],ZIC5_Fimo_hg19_1,
seq993_[chr20:44393959-44394129],ZIC2_Fimo_ENCODE_2,
seq2109_[chr18:22628079-22628249],GLI1_Fimo_hg19_11,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_1
seq2109_[chr18:22628079-22628249],USF2_Fimo_hg19_2,hand_picked_TFs
seq2109_[chr18:22628079-22628249],NFKB2_Fimo_hg19_2,Induction/activity_at_TP_72h
seq2109_[chr18:22628079-22628249],GLI1_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_4
seq2109_[chr18:22628079-22628249],PTEN_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_5
seq2109_[chr18:22628079-22628249],ZNF423_Fimo_ENCODE_2,Induction/activity_at_TP_48h
seq363_[chr12:32552619-32552789],ZIC3_Fimo_ENCODE_3,Induction/activity_at_TP_72h
seq363_[chr12:32552619-32552789],RARA_Fimo_ENCODE_8,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_2
seq363_[chr12:32552619-32552789],HHEX_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_3
seq363_[chr12:32552619-32552789],E2F4_Fimo_hg19_3,Induction/activity_at_TP_48h
seq363_[chr12:32552619-32552789],E2F4_Fimo_hg19_6,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_3
seq363_[chr12:32552619-32552789],SP8_Fimo_ENCODE_1,
seq363_[chr12:32552619-32552789],RXRA_Fimo_ENCODE_2,
seq363_[chr12:32552619-32552789],GLIS2_Fimo_ENCODE_1,
seq363_[chr12:32552619-32552789],HIF1A_Fimo_ENCODE_1,
seq363_[chr12:32552619-32552789],HIF1A_Fimo_ENCODE_2,
seq363_[chr12:32552619-32552789],GLI1_Fimo_hg19_11,
seq363_[chr12:32552619-32552789],ZIC5_Fimo_hg19_1,
seq2236_[chr10:74114347-74114517],SOX5_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_2
seq2236_[chr10:74114347-74114517],YY2_Fimo_hg19_10,Induction/activity_at_TP_24h
seq2236_[chr10:74114347-74114517],SOX21_Fimo_ENCODE_3,Induction/activity_at_TP_48h
seq2236_[chr10:74114347-74114517],,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_2
seq2236_[chr10:74114347-74114517],,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_2
seq405_[chr12:101960136-101960306],POU3F1_Fimo_ENCODE_2,Induction/activity_at_TP_72h
seq405_[chr12:101960136-101960306],ZIC2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_2
seq405_[chr12:101960136-101960306],MYC_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_2
seq405_[chr12:101960136-101960306],POU3F2_Fimo_ENCODE_6,Induction/activity_at_TP_48h
seq405_[chr12:101960136-101960306],,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_2
seq1205_[chr5:1515005-1515175],ZIC3_Fimo_ENCODE_3,Induction/activity_at_TP_72h
seq1205_[chr5:1515005-1515175],YY2_Fimo_hg19_9,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_1
seq1205_[chr5:1515005-1515175],NFKB2_Fimo_hg19_2,Induction/activity_at_TP_48h
seq1205_[chr5:1515005-1515175],ZNF423_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_1
seq1205_[chr5:1515005-1515175],NFAT_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_3
seq1205_[chr5:1515005-1515175],ZIC2_Fimo_ENCODE_2,
seq1205_[chr5:1515005-1515175],BCL11B_Fimo_hg19_1,
seq1205_[chr5:1515005-1515175],YY2_Fimo_hg19_10,
seq1205_[chr5:1515005-1515175],GLIS2_Fimo_ENCODE_1,
seq1205_[chr5:1515005-1515175],SOX9_Fimo_hg19_27,
seq1205_[chr5:1515005-1515175],ZIC5_Fimo_hg19_1,
seq1205_[chr5:1515005-1515175],SOX10_Fimo_ENCODE_8,
seq1274_[chr5:140381871-140382041],ETV5_Fimo_hg19_31,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_2
seq1274_[chr5:140381871-140382041],BCL11B_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_2
seq1274_[chr5:140381871-140382041],JUN_Fimo_hg19_11,Induction/activity_at_TP_24h
seq1274_[chr5:140381871-140382041],NFAT_Fimo_ENCODE_2,Induction/activity_at_TP_48h
seq1274_[chr5:140381871-140382041],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_3
seq1623_[chr1:9774468-9774638],MYC_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_3
seq1623_[chr1:9774468-9774638],TFCP2L1_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_1
seq1623_[chr1:9774468-9774638],REST_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_3
seq1623_[chr1:9774468-9774638],REST_Fimo_ENCODE_8,pathway_hsa04150
seq1623_[chr1:9774468-9774638],ZIC5_Fimo_hg19_1,Induction/activity_at_TP_48h
seq1623_[chr1:9774468-9774638],TCF12_Fimo_ENCODE_5,Induction/activity_at_TP_24h
seq887_[chr2:121467289-121467459],GLI1_Fimo_hg19_3,pathway_hsa04340
seq887_[chr2:121467289-121467459],GLI1_Fimo_hg19_11,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_3
seq887_[chr2:121467289-121467459],FOXJ2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_1
seq887_[chr2:121467289-121467459],,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_3
seq887_[chr2:121467289-121467459],,Induction/activity_at_TP_48h
seq887_[chr2:121467289-121467459],,Induction/activity_at_TP_24h
seq1559_[chr9:73035377-73035547],CR936877.3_Fimo_hg19_22,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_2
seq1559_[chr9:73035377-73035547],SOX1_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_2
seq1559_[chr9:73035377-73035547],DMBX1_Fimo_hg19_10,Induction/activity_at_TP_6h
seq1559_[chr9:73035377-73035547],HOMEZ_Fimo_hg19_1,Induction/activity_at_TP_0h
seq1559_[chr9:73035377-73035547],,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4
seq1559_[chr9:73035377-73035547],,Induction/activity_at_TP_12h
seq1559_[chr9:73035377-73035547],,Induction/activity_at_TP_3h
seq2291_[chr6:113908526-113908696],SOX5_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_4
seq2291_[chr6:113908526-113908696],LMX1A_Fimo_hg19_1,Induction/activity_at_TP_72h
seq2291_[chr6:113908526-113908696],LHX5_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_3
seq2291_[chr6:113908526-113908696],,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_3
seq2291_[chr6:113908526-113908696],,Induction/activity_at_TP_48h
seq1048_[chr22:46241068-46241238],SOX1_Fimo_hg19_3,Induction/activity_at_TP_12h
seq1048_[chr22:46241068-46241238],BARHL1_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_5
seq1048_[chr22:46241068-46241238],TFAP2_Fimo_ENCODE_4,pathway_hsa04310
seq1048_[chr22:46241068-46241238],TFAP2_Fimo_ENCODE_10,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_3
seq1048_[chr22:46241068-46241238],SP8_Fimo_ENCODE_1,Induction/activity_at_TP_6h
seq1048_[chr22:46241068-46241238],TCF12_Fimo_ENCODE_5,Induction/activity_at_TP_0h
seq1048_[chr22:46241068-46241238],,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4
seq1048_[chr22:46241068-46241238],,pathway_hsa04340
seq1048_[chr22:46241068-46241238],,Induction/activity_at_TP_3h
seq2300_[chr8:133412943-133413113],ZIC2_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_1
seq2300_[chr8:133412943-133413113],POU3F1_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_5
seq2300_[chr8:133412943-133413113],NR2F2_Fimo_hg19_22,Induction/activity_at_TP_12h
seq2300_[chr8:133412943-133413113],TFCP2L1_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_4
seq2300_[chr8:133412943-133413113],POU3F2_Fimo_ENCODE_6,Induction/activity_at_TP_48h
seq2300_[chr8:133412943-133413113],,Induction/activity_at_TP_24h
seq1142_[chr4:41258753-41258923],BHLHE40_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_2
seq1142_[chr4:41258753-41258923],USF2_Fimo_hg19_2,Induction/activity_at_TP_24h
seq1142_[chr4:41258753-41258923],BCL11B_Fimo_hg19_1,Induction/activity_at_TP_48h
seq1142_[chr4:41258753-41258923],ELF1_Fimo_hg19_7,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_2
seq1142_[chr4:41258753-41258923],USF1_Fimo_hg19_9,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_2
seq1142_[chr4:41258753-41258923],ETV5_Fimo_hg19_31,
seq1142_[chr4:41258753-41258923],TCF12_Fimo_ENCODE_5,
seq680_[chr17:42633937-42634107],GLI1_Fimo_hg19_11,Induction/activity_at_TP_12h
seq680_[chr17:42633937-42634107],ZIC2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_4
seq680_[chr17:42633937-42634107],HIF1A_Fimo_ENCODE_1,Induction/activity_at_TP_6h
seq680_[chr17:42633937-42634107],GLI1_Fimo_hg19_3,Induction/activity_at_TP_0h
seq680_[chr17:42633937-42634107],PTEN_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4
seq680_[chr17:42633937-42634107],GLI2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_4
seq680_[chr17:42633937-42634107],,Induction/activity_at_TP_3h
seq680_[chr17:42633937-42634107],,pathway_hsa04310
seq184_[chr10:51039483-51039653],FOXB1_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_2
seq184_[chr10:51039483-51039653],TCF12_Fimo_ENCODE_7,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_2
seq184_[chr10:51039483-51039653],TFCP2L1_Fimo_ENCODE_1,Induction/activity_at_TP_12h
seq184_[chr10:51039483-51039653],PAX6_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_5
seq184_[chr10:51039483-51039653],,Induction/activity_at_TP_48h
seq184_[chr10:51039483-51039653],,Induction/activity_at_TP_24h
seq857_[chr2:58767177-58767347],MYC_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_1
seq857_[chr2:58767177-58767347],ZIC2_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_3
seq857_[chr2:58767177-58767347],BARHL1_Fimo_ENCODE_3,Induction/activity_at_TP_12h
seq857_[chr2:58767177-58767347],TFAP2_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_5
seq857_[chr2:58767177-58767347],SNAI3_Fimo_hg19_1,Induction/activity_at_TP_48h
seq857_[chr2:58767177-58767347],TFAP2_Fimo_ENCODE_10,Induction/activity_at_TP_24h
seq857_[chr2:58767177-58767347],USF1_Fimo_hg19_9,
seq857_[chr2:58767177-58767347],IRX3_Fimo_hg19_7,
seq857_[chr2:58767177-58767347],PKNOX2_Fimo_hg19_5,
seq857_[chr2:58767177-58767347],HIF1A_Fimo_ENCODE_1,
seq857_[chr2:58767177-58767347],POU3F1_Fimo_ENCODE_2,
seq857_[chr2:58767177-58767347],ZIC5_Fimo_hg19_1,
seq857_[chr2:58767177-58767347],POU3F2_Fimo_ENCODE_6,
seq155_[chr1:228871123-228871293],ZIC3_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_4
seq155_[chr1:228871123-228871293],MYC_Fimo_ENCODE_9,Induction/activity_at_TP_6h
seq155_[chr1:228871123-228871293],YY2_Fimo_hg19_9,Induction/activity_at_TP_0h
seq155_[chr1:228871123-228871293],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4
seq155_[chr1:228871123-228871293],HHEX_Fimo_hg19_1,Induction/activity_at_TP_12h
seq155_[chr1:228871123-228871293],PAX6_Fimo_hg19_3,Induction/activity_at_TP_3h
seq155_[chr1:228871123-228871293],TCF12_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_4
seq203_[chr10:77842878-77843048],RXRA_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_2
seq203_[chr10:77842878-77843048],LHX5_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_3
seq203_[chr10:77842878-77843048],POU3F2_Fimo_ENCODE_6,Induction/activity_at_TP_6h
seq203_[chr10:77842878-77843048],LMX1A_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_2
seq203_[chr10:77842878-77843048],,Induction/activity_at_TP_0h
seq203_[chr10:77842878-77843048],,Induction/activity_at_TP_12h
seq203_[chr10:77842878-77843048],,Induction/activity_at_TP_3h
seq397_[chr12:89845723-89845893],NR2F2_Fimo_hg19_22,Induction/activity_at_TP_72h
seq397_[chr12:89845723-89845893],MZF1_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_1
seq397_[chr12:89845723-89845893],SRF_Fimo_hg19_17,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_2
seq397_[chr12:89845723-89845893],SOX21_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_1
seq397_[chr12:89845723-89845893],SNAI3_Fimo_hg19_1,Induction/activity_at_TP_48h
seq397_[chr12:89845723-89845893],MEIS2_Fimo_ENCODE_2,
seq397_[chr12:89845723-89845893],REST_Fimo_ENCODE_8,
seq397_[chr12:89845723-89845893],MEIS3_Fimo_ENCODE_1,
seq580_[chr15:89536311-89536481],ZIC3_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_3
seq580_[chr15:89536311-89536481],POU3F1_Fimo_ENCODE_2,Induction/activity_at_TP_24h
seq580_[chr15:89536311-89536481],SRF_Fimo_hg19_17,Induction/activity_at_TP_48h
seq580_[chr15:89536311-89536481],IRX3_Fimo_hg19_7,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_1
seq580_[chr15:89536311-89536481],POU3F2_Fimo_ENCODE_6,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_3
seq2297_[chr7:148032155-148032325],SOX1_Fimo_hg19_3,pathway_hsa04310
seq2297_[chr7:148032155-148032325],FOXB1_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_1
seq2297_[chr7:148032155-148032325],TCF12_Fimo_ENCODE_7,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_4
seq2297_[chr7:148032155-148032325],PRDM4_Fimo_ENCODE_1,Induction/activity_at_TP_12h
seq2297_[chr7:148032155-148032325],,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_4
seq2297_[chr7:148032155-148032325],,Induction/activity_at_TP_48h
seq2297_[chr7:148032155-148032325],,Induction/activity_at_TP_24h
controls_seq75_[chr6:23180868-23181038],NFE2L2_Fimo_ENCODE_1,Induction/activity_at_TP_0h
controls_seq75_[chr6:23180868-23181038],USF2_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_4
controls_seq75_[chr6:23180868-23181038],BHLHE40_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_2
controls_seq75_[chr6:23180868-23181038],ELF1_Fimo_hg19_7,Induction/activity_at_TP_6h
controls_seq75_[chr6:23180868-23181038],SOX9_Fimo_hg19_27,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_5
controls_seq75_[chr6:23180868-23181038],USF1_Fimo_hg19_9,Induction/activity_at_TP_12h
controls_seq75_[chr6:23180868-23181038],SOX10_Fimo_ENCODE_8,Induction/activity_at_TP_3h
controls_seq75_[chr6:23180868-23181038],ETV5_Fimo_hg19_31,
controls_seq75_[chr6:23180868-23181038],HIF1A_Fimo_ENCODE_1,
controls_seq75_[chr6:23180868-23181038],HIF1A_Fimo_ENCODE_2,
controls_seq75_[chr6:23180868-23181038],EP300_Fimo_ENCODE_5,
controls_seq75_[chr6:23180868-23181038],PTEN_Fimo_ENCODE_1,
seq183_[chr10:43312452-43312622],SOX5_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_5
seq183_[chr10:43312452-43312622],FOXB1_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_1
seq183_[chr10:43312452-43312622],SRF_Fimo_hg19_17,Induction/activity_at_TP_6h
seq183_[chr10:43312452-43312622],,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_1
seq183_[chr10:43312452-43312622],,Induction/activity_at_TP_0h
seq183_[chr10:43312452-43312622],,Induction/activity_at_TP_12h
seq183_[chr10:43312452-43312622],,Induction/activity_at_TP_3h
seq1147_[chr4:56147529-56147699],BARHL1_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_5
seq1147_[chr4:56147529-56147699],MZF1_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_1
seq1147_[chr4:56147529-56147699],IRX3_Fimo_hg19_7,Induction/activity_at_TP_48h
seq1147_[chr4:56147529-56147699],PKNOX2_Fimo_hg19_5,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_2
seq1147_[chr4:56147529-56147699],GLIS2_Fimo_ENCODE_1,Induction/activity_at_TP_24h
seq1147_[chr4:56147529-56147699],OTX2_Fimo_ENCODE_1,
seq1937_[chr3:155432158-155432328],POU3F1_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_4
seq1937_[chr3:155432158-155432328],NFAT_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_5
seq1937_[chr3:155432158-155432328],SRF_Fimo_hg19_17,Induction/activity_at_TP_6h
seq1937_[chr3:155432158-155432328],MYC_Fimo_ENCODE_5,Induction/activity_at_TP_0h
seq1937_[chr3:155432158-155432328],POU3F2_Fimo_ENCODE_6,Induction/activity_at_TP_12h
