Properties,Transcription Factors,Regions
Induction/activity_at_TP_24h,,seq2231_[chr10:74014932-74015102]
Induction/activity_at_TP_24h,,seq2220_[chr1:155804391-155804561]
Induction/activity_at_TP_24h,,seq1282_[chr5:147254685-147254855]
Induction/activity_at_TP_24h,,seq1609_[chr9:139695644-139695814]
Induction/activity_at_TP_48h,FOXB1_Fimo_ENCODE_4,seq1340_[chr6:90193123-90193293]
Induction/activity_at_TP_48h,BARHL1_Fimo_ENCODE_3,seq363_[chr12:32552619-32552789]
Induction/activity_at_TP_48h,TCF7L2_Fimo_ENCODE_4,seq2027_[chr8:65936285-65936455]
Induction/activity_at_TP_48h,HHEX_Fimo_hg19_1,seq905_[chr2:161781638-161781808]
Induction/activity_at_TP_48h,POU3F1_Fimo_ENCODE_2,seq1772_[chr15:37338155-37338325]
Induction/activity_at_TP_48h,SOX21_Fimo_ENCODE_3,seq161_[chr1:233431342-233431512]
Induction/activity_at_TP_48h,HOMEZ_Fimo_hg19_1,seq1263_[chr5:123210525-123210695]
Induction/activity_at_TP_48h,OTX2_Fimo_ENCODE_1,seq297_[chr11:67203946-67204116]
Induction/activity_at_TP_48h,DMBX1_Fimo_hg19_10,seq615_[chr16:26997150-26997320]
Induction/activity_at_TP_48h,ZIC3_Fimo_ENCODE_3,seq2236_[chr10:74114347-74114517]
Induction/activity_at_TP_48h,GLI1_Fimo_hg19_3,controls_seq148_[chr9:110235258-110235428]
Induction/activity_at_TP_48h,SOX5_Fimo_ENCODE_1,seq116_[chr1:160951446-160951616]
Induction/activity_at_TP_48h,IRX3_Fimo_hg19_7,seq270_[chr11:25601079-25601249]
Induction/activity_at_TP_48h,LHX5_Fimo_ENCODE_1,seq842_[chr2:42274000-42274170]
Induction/activity_at_TP_48h,PKNOX2_Fimo_hg19_5,seq2159_[chr3:181433881-181434051]
Induction/activity_at_TP_48h,MZF1_Fimo_ENCODE_1,controls_seq162_[chr8:128822479-128822649]
Induction/activity_at_TP_48h,GLI1_Fimo_hg19_11,seq1526_[chr8:128822474-128822644]
Induction/activity_at_TP_48h,SOX1_Fimo_hg19_3,seq1196_[chr4:184026378-184026548]
Induction/activity_at_TP_48h,ZNF423_Fimo_ENCODE_2,seq405_[chr12:101960136-101960306]
Induction/activity_at_TP_48h,MEIS2_Fimo_ENCODE_2,seq180_[chr10:33247228-33247398]
Induction/activity_at_TP_48h,RXRA_Fimo_ENCODE_2,seq1142_[chr4:41258753-41258923]
Induction/activity_at_TP_48h,SOX9_Fimo_hg19_27,controls_seq185_[chr11:31832761-31832931]
Induction/activity_at_TP_48h,ZIC5_Fimo_hg19_1,seq1366_[chr6:144651800-144651970]
Induction/activity_at_TP_48h,MEIS3_Fimo_ENCODE_1,seq2165_[chr6:99282262-99282432]
Induction/activity_at_TP_48h,GLI2_Fimo_ENCODE_1,seq322_[chr11:102079639-102079809]
Induction/activity_at_TP_48h,NFKB2_Fimo_hg19_2,seq464_[chr13:79232505-79232675]
Induction/activity_at_TP_48h,NR2F2_Fimo_hg19_22,seq317_[chr11:94964592-94964762]
Induction/activity_at_TP_48h,RARA_Fimo_ENCODE_8,seq820_[chr2:8776917-8777087]
Induction/activity_at_TP_48h,SOX2_Fimo_ENCODE_1,seq2232_[chr10:74020532-74020702]
Induction/activity_at_TP_48h,EP300_Fimo_ENCODE_5,seq511_[chr14:75745409-75745579]
Induction/activity_at_TP_48h,PAX6_Fimo_ENCODE_4,seq1219_[chr5:14036238-14036408]
Induction/activity_at_TP_48h,ZIC2_Fimo_ENCODE_2,seq1582_[chr9:101935085-101935255]
Induction/activity_at_TP_48h,LMX1A_Fimo_hg19_1,seq2233_[chr10:74032638-74032808]
Induction/activity_at_TP_48h,ZIC2_Fimo_ENCODE_1,seq857_[chr2:58767177-58767347]
Induction/activity_at_TP_48h,SOX10_Fimo_ENCODE_8,seq1205_[chr5:1515005-1515175]
Induction/activity_at_TP_48h,REST_Fimo_ENCODE_8,seq1769_[chr14:100350343-100350513]
Induction/activity_at_TP_48h,REST_Fimo_ENCODE_9,seq334_[chr11:121671606-121671776]
Induction/activity_at_TP_48h,PAX6_Fimo_hg19_3,seq1207_[chr5:2751732-2751902]
Induction/activity_at_TP_48h,TCF12_Fimo_ENCODE_5,seq689_[chr17:47943180-47943350]
Induction/activity_at_TP_48h,TCF12_Fimo_ENCODE_7,seq1274_[chr5:140381871-140382041]
Induction/activity_at_TP_48h,,seq117_[chr1:160983560-160983730]
Induction/activity_at_TP_48h,,controls_seq110_[chr2:30607896-30608066]
Induction/activity_at_TP_48h,,controls_seq36_[chr18:49573352-49573522]
Induction/activity_at_TP_48h,,seq1397_[chr7:12368757-12368927]
Induction/activity_at_TP_48h,,seq461_[chr13:63086520-63086690]
Induction/activity_at_TP_48h,,seq1061_[chr3:45726102-45726272]
Induction/activity_at_TP_48h,,seq31_[chr1:20813189-20813359]
Induction/activity_at_TP_48h,,seq1606_[chr9:138232061-138232231]
Induction/activity_at_TP_48h,,seq366_[chr12:33741075-33741245]
Induction/activity_at_TP_48h,,seq215_[chr10:92690066-92690236]
Induction/activity_at_TP_48h,,seq1658_[chr10:17430253-17430423]
Induction/activity_at_TP_48h,,seq1255_[chr5:107008317-107008487]
Induction/activity_at_TP_48h,,seq184_[chr10:51039483-51039653]
Induction/activity_at_TP_48h,,seq2263_[chr17:13542498-13542668]
Induction/activity_at_TP_48h,,seq1623_[chr1:9774468-9774638]
Induction/activity_at_TP_48h,,seq487_[chr14:54209002-54209172]
Induction/activity_at_TP_48h,,seq2147_[chr9:126763605-126763775]
Induction/activity_at_TP_48h,,seq836_[chr2:37423583-37423753]
Induction/activity_at_TP_48h,,seq865_[chr2:69135637-69135807]
Induction/activity_at_TP_48h,,seq1648_[chr1:101200853-101201023]
Induction/activity_at_TP_48h,,seq2228_[chr10:34716436-34716606]
Induction/activity_at_TP_48h,,seq2279_[chr22:36727609-36727779]
Induction/activity_at_TP_48h,,seq1275_[chr5:141928420-141928590]
Induction/activity_at_TP_48h,,seq397_[chr12:89845723-89845893]
Induction/activity_at_TP_48h,,seq1811_[chr17:6365105-6365275]
Induction/activity_at_TP_48h,,seq1767_[chr14:96494017-96494187]
Induction/activity_at_TP_48h,,seq887_[chr2:121467289-121467459]
Induction/activity_at_TP_48h,,seq266_[chr11:20178226-20178396]
Induction/activity_at_TP_48h,,seq590_[chr15:93905528-93905698]
Induction/activity_at_TP_48h,,seq1507_[chr8:77593271-77593441]
Induction/activity_at_TP_48h,,seq602_[chr16:6246080-6246250]
Induction/activity_at_TP_48h,,seq521_[chr14:100355660-100355830]
Induction/activity_at_TP_48h,,seq1311_[chr6:15895241-15895411]
Induction/activity_at_TP_48h,,seq2132_[chr3:181956041-181956211]
Induction/activity_at_TP_48h,,controls_seq46_[chr2:174989094-174989264]
Induction/activity_at_TP_48h,,seq2269_[chr18:74110957-74111127]
Induction/activity_at_TP_48h,,seq51_[chr1:33808005-33808175]
Induction/activity_at_TP_48h,,seq1493_[chr8:32987010-32987180]
Induction/activity_at_TP_48h,,seq194_[chr10:69913462-69913632]
Induction/activity_at_TP_48h,,seq1505_[chr8:72836323-72836493]
Induction/activity_at_TP_48h,,seq493_[chr14:64854653-64854823]
Induction/activity_at_TP_48h,,seq1688_[chr11:13123771-13123941]
Induction/activity_at_TP_48h,,seq432_[chr12:124625507-124625677]
Induction/activity_at_TP_48h,,seq1535_[chr8:144120264-144120434]
Induction/activity_at_TP_48h,,seq231_[chr10:123339836-123340006]
Induction/activity_at_TP_48h,,seq1964_[chr5:58295687-58295857]
Induction/activity_at_TP_48h,,seq2291_[chr6:113908526-113908696]
Induction/activity_at_TP_48h,,seq236_[chr10:126158599-126158769]
Induction/activity_at_TP_48h,,seq2249_[chr12:57914375-57914545]
Induction/activity_at_TP_48h,,seq1049_[chr22:46440726-46440896]
Induction/activity_at_TP_48h,,seq956_[chr2:233916594-233916764]
Induction/activity_at_TP_48h,,seq1039_[chr22:39610563-39610733]
Induction/activity_at_TP_48h,,seq2126_[chr2:2835494-2835664]
Induction/activity_at_TP_48h,,seq2089_[chr13:112726838-112727008]
Induction/activity_at_TP_48h,,seq580_[chr15:89536311-89536481]
Induction/activity_at_TP_48h,,seq966_[chr2:236995715-236995885]
Induction/activity_at_TP_48h,,controls_seq180_[chr9:110252111-110252281]
Induction/activity_at_TP_48h,,seq2297_[chr7:148032155-148032325]
Induction/activity_at_TP_48h,,seq401_[chr12:95945211-95945381]
Induction/activity_at_TP_48h,,seq2139_[chr6:98973889-98974059]
Induction/activity_at_TP_48h,,seq1485_[chr7:151167884-151168054]
Induction/activity_at_TP_48h,,seq832_[chr2:36498299-36498469]
Induction/activity_at_TP_48h,,seq2242_[chr11:46615443-46615613]
Induction/activity_at_TP_48h,,seq200_[chr10:77161522-77161692]
Induction/activity_at_TP_48h,,seq2300_[chr8:133412943-133413113]
Induction/activity_at_TP_48h,,seq2206_[chr1:40442529-40442699]
Induction/activity_at_TP_48h,,seq2235_[chr10:74057828-74057998]
Induction/activity_at_TP_48h,,seq469_[chr13:101768198-101768368]
Induction/activity_at_TP_48h,,seq1055_[chr3:20371483-20371653]
Induction/activity_at_TP_48h,,seq1498_[chr8:40771792-40771962]
Induction/activity_at_TP_48h,,seq391_[chr12:62500395-62500565]
Induction/activity_at_TP_48h,,seq258_[chr11:10373615-10373785]
Induction/activity_at_TP_48h,,seq1432_[chr7:75793253-75793423]
Induction/activity_at_TP_48h,,seq1859_[chr2:123819105-123819275]
Induction/activity_at_TP_48h,,seq1147_[chr4:56147529-56147699]
Induction/activity_at_TP_48h,,seq485_[chr14:51706847-51707017]
Induction/activity_at_TP_48h,,seq1914_[chr22:27898396-27898566]
Induction/activity_at_TP_48h,,seq776_[chr19:3968792-3968962]
Induction/activity_at_TP_48h,,seq825_[chr2:17721823-17721993]
Induction/activity_at_TP_48h,,seq2212_[chr1:59249676-59249846]
Induction/activity_at_TP_48h,,seq807_[chr19:52408231-52408401]
Induction/activity_at_TP_48h,,seq1714_[chr12:55457211-55457381]
Induction/activity_at_TP_48h,,seq1370_[chr6:154864096-154864266]
Induction/activity_at_TP_48h,,seq19_[chr1:11741207-11741377]
Induction/activity_at_TP_48h,,seq1571_[chr9:94649070-94649240]
Induction/activity_at_TP_48h,,seq1193_[chr4:173995523-173995693]
Induction/activity_at_TP_48h,,controls_seq157_[chr9:110857575-110857745]
Induction/activity_at_TP_48h,,seq1774_[chr15:39959593-39959763]
Induction/activity_at_TP_48h,,seq414_[chr12:110318406-110318576]
Induction/activity_at_TP_48h,,seq1191_[chr4:169762284-169762454]
Induction/activity_at_TP_48h,,seq2266_[chr17:74117555-74117725]
Induction/activity_at_TP_48h,,seq2001_[chr7:29596496-29596666]
Induction/activity_at_TP_48h,,seq1563_[chr9:75295558-75295728]
Induction/activity_at_TP_48h,,seq321_[chr11:102068532-102068702]
Induction/activity_at_TP_48h,,seq677_[chr17:37845417-37845587]
Induction/activity_at_TP_48h,,seq1339_[chr6:86379630-86379800]
Induction/activity_at_TP_48h,,seq1359_[chr6:126070571-126070741]
Induction/activity_at_TP_48h,,seq1796_[chr16:54385386-54385556]
Induction/activity_at_TP_48h,,seq993_[chr20:44393959-44394129]
Induction/activity_at_TP_48h,,seq1446_[chr7:100743510-100743680]
Induction/activity_at_TP_48h,,seq96_[chr1:113570296-113570466]
Induction/activity_at_TP_48h,,seq1293_[chr5:172983462-172983632]
Induction/activity_at_TP_48h,,seq193_[chr10:69621993-69622163]
Induction/activity_at_TP_48h,,seq398_[chr12:92860238-92860408]
Induction/activity_at_TP_48h,,seq450_[chr13:43167231-43167401]
Induction/activity_at_TP_48h,,seq2237_[chr10:102245397-102245567]
Induction/activity_at_TP_48h,,seq63_[chr1:43432875-43433045]
Induction/activity_at_TP_48h,,seq2264_[chr17:36729216-36729386]
Induction/activity_at_TP_48h,,seq2231_[chr10:74014932-74015102]
Induction/activity_at_TP_48h,,seq2109_[chr18:22628079-22628249]
Induction/activity_at_TP_48h,,seq2220_[chr1:155804391-155804561]
Induction/activity_at_TP_48h,,seq1282_[chr5:147254685-147254855]
Induction/activity_at_TP_48h,,seq1266_[chr5:129060420-129060590]
Induction/activity_at_TP_48h,,seq1609_[chr9:139695644-139695814]
Induction/activity_at_TP_72h,MYC_Fimo_ENCODE_9,seq485_[chr14:51706847-51707017]
Induction/activity_at_TP_72h,FOXB1_Fimo_ENCODE_4,seq363_[chr12:32552619-32552789]
Induction/activity_at_TP_72h,BARHL1_Fimo_ENCODE_3,seq2291_[chr6:113908526-113908696]
Induction/activity_at_TP_72h,MZF1_Fimo_ENCODE_1,seq1772_[chr15:37338155-37338325]
Induction/activity_at_TP_72h,POU3F1_Fimo_ENCODE_2,seq19_[chr1:11741207-11741377]
Induction/activity_at_TP_72h,SOX21_Fimo_ENCODE_3,seq2001_[chr7:29596496-29596666]
Induction/activity_at_TP_72h,DMBX1_Fimo_hg19_10,seq1339_[chr6:86379630-86379800]
Induction/activity_at_TP_72h,SOX5_Fimo_ENCODE_1,seq1263_[chr5:123210525-123210695]
Induction/activity_at_TP_72h,LHX5_Fimo_ENCODE_1,seq807_[chr19:52408231-52408401]
Induction/activity_at_TP_72h,POU3F2_Fimo_ENCODE_6,seq1505_[chr8:72836323-72836493]
Induction/activity_at_TP_72h,SOX1_Fimo_hg19_3,seq487_[chr14:54209002-54209172]
Induction/activity_at_TP_72h,ZNF423_Fimo_ENCODE_2,seq2235_[chr10:74057828-74057998]
Induction/activity_at_TP_72h,OTX1_Fimo_ENCODE_2,seq432_[chr12:124625507-124625677]
Induction/activity_at_TP_72h,MEIS2_Fimo_ENCODE_2,seq231_[chr10:123339836-123340006]
Induction/activity_at_TP_72h,MYC_Fimo_ENCODE_5,seq1714_[chr12:55457211-55457381]
Induction/activity_at_TP_72h,MEIS3_Fimo_ENCODE_1,seq2249_[chr12:57914375-57914545]
Induction/activity_at_TP_72h,NR2F2_Fimo_hg19_22,seq966_[chr2:236995715-236995885]
Induction/activity_at_TP_72h,SOX2_Fimo_ENCODE_1,seq270_[chr11:25601079-25601249]
Induction/activity_at_TP_72h,PAX6_Fimo_ENCODE_4,seq461_[chr13:63086520-63086690]
Induction/activity_at_TP_72h,LMX1A_Fimo_hg19_1,seq615_[chr16:26997150-26997320]
Induction/activity_at_TP_72h,SP8_Fimo_ENCODE_1,seq1039_[chr22:39610563-39610733]
Induction/activity_at_TP_72h,SOX10_Fimo_ENCODE_8,seq321_[chr11:102068532-102068702]
Induction/activity_at_TP_72h,RXRA_Fimo_ENCODE_2,seq2139_[chr6:98973889-98974059]
Induction/activity_at_TP_72h,PAX6_Fimo_hg19_3,seq1359_[chr6:126070571-126070741]
Induction/activity_at_TP_72h,TCF12_Fimo_ENCODE_5,seq836_[chr2:37423583-37423753]
Induction/activity_at_TP_72h,TCF12_Fimo_ENCODE_7,seq1796_[chr16:54385386-54385556]
Induction/activity_at_TP_72h,,seq1914_[chr22:27898396-27898566]
Induction/activity_at_TP_72h,,seq832_[chr2:36498299-36498469]
Induction/activity_at_TP_72h,,seq2242_[chr11:46615443-46615613]
Induction/activity_at_TP_72h,,seq405_[chr12:101960136-101960306]
Induction/activity_at_TP_72h,,seq1275_[chr5:141928420-141928590]
Induction/activity_at_TP_72h,,seq397_[chr12:89845723-89845893]
Induction/activity_at_TP_72h,,seq2027_[chr8:65936285-65936455]
Induction/activity_at_TP_72h,,seq2165_[chr6:99282262-99282432]
Induction/activity_at_TP_72h,,seq322_[chr11:102079639-102079809]
Induction/activity_at_TP_72h,,seq464_[chr13:79232505-79232675]
Induction/activity_at_TP_72h,,seq1055_[chr3:20371483-20371653]
Induction/activity_at_TP_72h,,seq590_[chr15:93905528-93905698]
Induction/activity_at_TP_72h,,seq1507_[chr8:77593271-77593441]
Induction/activity_at_TP_72h,,seq1774_[chr15:39959593-39959763]
Induction/activity_at_TP_72h,,seq2232_[chr10:74020532-74020702]
Induction/activity_at_TP_72h,,seq2109_[chr18:22628079-22628249]
Induction/activity_at_TP_72h,,seq521_[chr14:100355660-100355830]
Induction/activity_at_TP_72h,,seq1582_[chr9:101935085-101935255]
Induction/activity_at_TP_72h,,seq1432_[chr7:75793253-75793423]
Induction/activity_at_TP_72h,,seq1205_[chr5:1515005-1515175]
Induction/activity_at_TP_72h,,seq1859_[chr2:123819105-123819275]
Induction/activity_at_TP_72h,,seq1266_[chr5:129060420-129060590]
Induction/activity_at_TP_72h,,seq1311_[chr6:15895241-15895411]
Induction/activity_at_TP_72h,,controls_seq46_[chr2:174989094-174989264]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_1,TFAP2_Fimo_ENCODE_10,seq1618_[chrX:130611512-130611682]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_1,BHLHE40_Fimo_hg19_2,seq1175_[chr4:125380900-125381070]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_1,TFAP2_Fimo_ENCODE_4,seq1516_[chr8:104663261-104663431]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_1,SRF_Fimo_hg19_17,seq732_[chr18:6752629-6752799]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_1,FOXJ2_Fimo_ENCODE_1,seq183_[chr10:43312452-43312622]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_1,,seq1556_[chr9:71487184-71487354]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_1,,seq125_[chr1:178235935-178236105]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_1,,seq307_[chr11:77184409-77184579]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_1,,seq1542_[chr9:16768932-16769102]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_1,,seq350_[chr12:8962852-8963022]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_2,,seq2166_[chr9:126773515-126773685]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_2,,controls_seq174_[chr6:31126527-31126697]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_2,,seq203_[chr10:77842878-77843048]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_2,,seq1429_[chr7:73509281-73509451]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_2,,seq867_[chr2:70995246-70995416]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_2,,seq217_[chr10:98105168-98105338]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_2,,seq1501_[chr8:50005334-50005504]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_2,,seq1163_[chr4:91119425-91119595]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_2,,seq497_[chr14:68400983-68401153]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_2,,seq792_[chr19:17246400-17246570]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_3,,seq626_[chr16:52299381-52299551]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_3,,seq904_[chr2:157487561-157487731]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_3,,seq793_[chr19:18365973-18366143]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_3,,seq2272_[chr2:211627649-211627819]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_3,,seq1900_[chr20:46433296-46433466]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_3,,seq1512_[chr8:93107646-93107816]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_3,,seq1240_[chr5:72783756-72783926]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_3,,seq1430_[chr7:73693981-73694151]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_3,,seq1060_[chr3:33619186-33619356]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_3,,controls_seq55_[chr3:147652769-147652939]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4,,seq374_[chr12:49380487-49380657]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4,,seq1559_[chr9:73035377-73035547]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4,,seq680_[chr17:42633937-42634107]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4,,seq2234_[chr10:74033439-74033609]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4,,seq1385_[chr7:2539826-2539996]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4,,seq1400_[chr7:13875076-13875246]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4,,seq154_[chr1:228110602-228110772]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4,,seq1048_[chr22:46241068-46241238]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4,,seq1570_[chr9:94647461-94647631]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4,,seq155_[chr1:228871123-228871293]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4,,seq2229_[chr10:74008393-74008563]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_5,,controls_seq8_[chr10:102245394-102245564]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_5,,seq2305_[chr9:117068145-117068315]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_5,,seq1886_[chr20:10618280-10618450]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_5,,seq1911_[chr22:26790853-26791023]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_5,,controls_seq75_[chr6:23180868-23181038]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_5,,controls_seq49_[chr21:34291162-34291332]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_5,,seq2053_[chr9:108438869-108439039]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_5,,seq1927_[chr3:64624784-64624954]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_5,,seq1937_[chr3:155432158-155432328]
Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_5,,seq2020_[chr8:13214951-13215121]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_1,,seq1485_[chr7:151167884-151168054]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_1,,seq602_[chr16:6246080-6246250]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_1,,seq993_[chr20:44393959-44394129]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_1,,seq857_[chr2:58767177-58767347]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_1,,seq161_[chr1:233431342-233431512]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_1,,seq297_[chr11:67203946-67204116]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_1,,seq1526_[chr8:128822474-128822644]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_1,,seq2212_[chr1:59249676-59249846]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_1,,seq450_[chr13:43167231-43167401]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_1,,controls_seq162_[chr8:128822479-128822649]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_2,SOX9_Fimo_hg19_27,seq63_[chr1:43432875-43433045]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_2,ATF3_Fimo_hg19_1,seq865_[chr2:69135637-69135807]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_2,ZNF423_Fimo_ENCODE_2,seq2206_[chr1:40442529-40442699]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_2,SOX10_Fimo_ENCODE_8,seq1446_[chr7:100743510-100743680]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_2,MYC_Fimo_ENCODE_5,seq776_[chr19:3968792-3968962]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_2,,seq194_[chr10:69913462-69913632]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_2,,seq2228_[chr10:34716436-34716606]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_2,,seq2279_[chr22:36727609-36727779]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_2,,controls_seq180_[chr9:110252111-110252281]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_2,,seq184_[chr10:51039483-51039653]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_3,,seq1191_[chr4:169762284-169762454]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_3,,seq1196_[chr4:184026378-184026548]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_3,,seq1493_[chr8:32987010-32987180]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_3,,seq1219_[chr5:14036238-14036408]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_3,,seq1049_[chr22:46440726-46440896]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_3,,seq2266_[chr17:74117555-74117725]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_3,,seq366_[chr12:33741075-33741245]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_3,,seq193_[chr10:69621993-69622163]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_3,,seq1061_[chr3:45726102-45726272]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_3,,seq1193_[chr4:173995523-173995693]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_4,,seq1571_[chr9:94649070-94649240]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_4,,seq266_[chr11:20178226-20178396]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_4,,seq31_[chr1:20813189-20813359]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_4,,seq842_[chr2:42274000-42274170]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_4,,seq2233_[chr10:74032638-74032808]
Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_4,,controls_seq185_[chr11:31832761-31832931]
